N_intento	Edad	Género	Movimientos
1	8	F	1234,,56,1077
1	8	F	234,,156,1037
1	8	F	34,2,156,1596
1	8	F	34,12,56,1667
1	8	F	34,2,156,1958
1	8	F	34,12,56,2476
1	8	F	4,12,356,1081
1	8	F	14,2,356,1954
1	8	F	14,2,356,1392
1	8	F	4,2,1356,1808
1	8	F	24,,1356,2594
1	8	F	124,,356,2187
1	8	F	124,3,56,1018
1	8	F	124,3,56,2825
1	8	F	24,3,156,2142
1	8	F	4,23,156,1163
1	8	F	4,123,56,1261
1	8	F	,123,456,1929
1	8	F	,23,1456,1074
1	8	F	2,3,1456,921
1	8	F	12,3,456,1350
1	8	F	12,,3456,1556
1	8	F	2,1,3456,833
1	8	F	,1,23456,1620
2	8	F	123456,,,1258
2	8	F	23456,1,,1697
2	8	F	3456,1,2,1053
2	8	F	3456,1,2,558
2	8	F	3456,,12,1109
2	8	F	456,3,12,990
2	8	F	1456,3,2,1955
2	8	F	1456,23,,2311
2	8	F	456,123,,1117
2	8	F	56,123,4,1958
2	8	F	56,23,14,1311
2	8	F	256,3,14,751
2	8	F	1256,3,4,2167
2	8	F	256,3,14,1290
2	8	F	56,23,14,786
2	8	F	156,23,4,1435
2	8	F	156,23,4,1926
2	8	F	56,23,14,642
2	8	F	56,23,14,7
2	8	F	56,23,14,7
2	8	F	256,3,14,1715
2	8	F	1256,3,4,1950
2	8	F	1256,3,4,394
2	8	F	256,3,14,931
2	8	F	56,23,14,875
2	8	F	56,123,4,1259
2	8	F	456,123,,1921
2	8	F	456,123,,6
2	8	F	456,23,1,650
2	8	F	2456,3,1,1267
2	8	F	12456,3,,1115
2	8	F	12456,,3,745
2	8	F	2456,1,3,1032
2	8	F	456,1,23,1458
2	8	F	456,,123,961
2	8	F	56,4,123,833
2	8	F	56,4,123,1083
2	8	F	56,14,23,952
2	8	F	56,14,23,619
2	8	F	256,14,3,2735
2	8	F	1256,4,3,2291
2	8	F	1256,34,,1036
2	8	F	256,34,1,836
2	8	F	56,234,1,694
2	8	F	56,1234,,1168
2	8	F	6,1234,5,1568
2	8	F	16,234,5,830
2	8	F	16,34,25,1663
2	8	F	6,34,125,1351
2	8	F	36,4,125,907
2	8	F	6,34,125,974
2	8	F	6,134,25,948
2	8	F	16,34,25,636
2	8	F	16,34,25,225
2	8	F	16,234,5,1280
2	8	F	6,1234,5,962
2	8	F	6,1234,5,1638
